"bitola_id";"data";"volume"
5;"";5.104
10;"";4.018
3;"";9.104
4;"";8.636
11;"";26.321
12;"";25.32
13;"";25.321
14;"";0.0
15;"";2.098
16;"";2.098
17;"";1.292
18;"";2.098
19;"";2.098
20;"";2.098
21;"";2.098
22;"";2.098
23;"";2.098
24;"";2.098
25;"";2.098
26;"";2.098
27;"";9.959
28;"";9.959
29;"";9.959
30;"";9.959
31;"";9.959
32;"";9.959
33;"";9.959
34;"";9.959
35;"";9.959
36;"";9.959
37;"";9.959
38;"";9.959
43;"";9.83
44;"";0.749
48;"";3.547
49;"";2.79
50;"";5.508
52;"";3.535
53;"";1.502
54;"";0.509
55;"";0.509
56;"";0.509
57;"";6.742
58;"";6.742
59;"";6.742
60;"";6.742
61;"";7.694
62;"";1.502
63;"";1.502
64;"";1.502
65;"";5.448
66;"";6.235
67;"";6.129
68;"";0.403
69;"";4.765
70;"2022-09-01";5.278
2;"2022-09-01";60.0
71;"2022-09-01";9.063
72;"2022-11-10";4.319
45;"2022-11-21";16.908
46;"2022-11-21";4.958
